Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:04:51.026  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |11YQS01CT001XQ02|11YQS02CT001XQ02|11YQS03CT001XQ02|11YQS04CT001XQ02|11YQS05CT001XQ02|11YQS06CT001XQ02|11YQS07CT001XQ02|11YQS08CT001XQ02|11YQS09CT001XQ02|11YQS10CT001XQ02|11YQS11CT001XQ02|11YQS12CT001XQ02|11YQS13CT001XQ02|11YQS14CT001XQ02|11YQS15CT001XQ02|11YQS16CT001XQ02|11YQS17CT001XQ02|11YQS18CT001XQ02|11YQS19CT001XQ02|11YQS20CT001XQ02|11YQS21CT001XQ02|11YQS22CT001XQ02|11YQS23CT001XQ02|11YQS51CT001XQ02|11YQS52CT001XQ02|12YQS24CT001XQ02|12YQS25CT001XQ02|12YQS26CT001XQ02|12YQS27CT001XQ02|12YQS28CT001XQ02|12YQS29CT001XQ02|12YQS30CT001XQ02|12YQS31CT001XQ02|12YQS32CT001XQ02|12YQS33CT001XQ02|12YQS34CT001XQ02|12YQS35CT001XQ02|12YQS36CT001XQ02|12YQS37CT001XQ02|12YQS38CT001XQ02|12YQS39CT001XQ02|12YQS40CT001XQ02|12YQS41CT001XQ02|12YQS42CT001XQ02|12YQS43CT001XQ02|12YQS44CT001XQ02|12YQS45CT001XQ02|12YQS46CT001XQ02|12YQS53CT001XQ02|12YQS54CT001XQ02|
08.07.2013 08:00:00.000 |9.741           |9.543           |9.661           |9.763           |9.762           |9.834           |9.766           |9.785           |9.609           |9.429           |9.744           |9.680           |9.613           |9.645           |9.739           |9.787           |9.441           |9.495           |9.535           |9.723           |9.772           |9.790           |9.797           |0.000           |0.000           |9.473           |9.472           |9.521           |9.773           |9.634           |9.659           |9.803           |9.796           |9.417           |9.630           |9.690           |9.721           |9.604           |9.865           |9.789           |9.783           |9.788           |9.747           |9.784           |9.793           |9.803           |9.816           |9.748           |0.000           |-1.000          |
08.07.2013 08:00:10.000 |9.744           |9.543           |9.658           |9.760           |9.759           |9.832           |9.771           |9.784           |9.608           |9.430           |9.738           |9.679           |9.609           |9.641           |9.735           |9.785           |9.440           |9.492           |9.534           |9.714           |9.772           |9.789           |9.797           |0.000           |0.000           |9.473           |9.467           |9.521           |9.773           |9.632           |9.660           |9.797           |9.801           |9.418           |9.629           |9.691           |9.716           |9.602           |9.863           |9.790           |9.783           |9.787           |9.746           |9.778           |9.796           |9.806           |9.813           |9.751           |0.000           |-1.000          |
08.07.2013 08:00:20.000 |9.740           |9.542           |9.659           |9.762           |9.763           |9.837           |9.766           |9.789           |9.609           |9.428           |9.742           |9.679           |9.613           |9.644           |9.738           |9.788           |9.438           |9.493           |9.533           |9.723           |9.772           |9.793           |9.796           |0.000           |0.000           |9.471           |9.469           |9.520           |9.773           |9.632           |9.660           |9.804           |9.797           |9.416           |9.629           |9.690           |9.721           |9.605           |9.868           |9.787           |9.785           |9.787           |9.747           |9.782           |9.794           |9.803           |9.816           |9.748           |0.000           |-1.000          |
08.07.2013 08:00:30.000 |9.744           |9.546           |9.664           |9.766           |9.766           |9.839           |9.768           |9.789           |9.611           |9.429           |9.748           |9.685           |9.615           |9.651           |9.741           |9.793           |9.442           |9.496           |9.536           |9.727           |9.776           |9.795           |9.796           |0.000           |0.000           |9.472           |9.473           |9.522           |9.777           |9.636           |9.661           |9.807           |9.799           |9.421           |9.633           |9.692           |9.726           |9.608           |9.870           |9.789           |9.790           |9.789           |9.751           |9.788           |9.796           |9.803           |9.821           |9.752           |0.000           |-1.000          |
08.07.2013 08:00:40.000 |9.747           |9.548           |9.663           |9.765           |9.764           |9.838           |9.769           |9.789           |9.613           |9.435           |9.744           |9.684           |9.615           |9.647           |9.741           |9.785           |9.444           |9.496           |9.537           |9.720           |9.775           |9.793           |9.800           |0.000           |0.000           |9.477           |9.471           |9.524           |9.778           |9.636           |9.663           |9.801           |9.803           |9.422           |9.634           |9.695           |9.722           |9.607           |9.868           |9.793           |9.785           |9.789           |9.751           |9.784           |9.799           |9.808           |9.818           |9.754           |0.000           |-1.000          |
08.07.2013 08:00:50.000 |9.746           |9.546           |9.663           |9.769           |9.768           |9.838           |9.768           |9.789           |9.610           |9.429           |9.748           |9.686           |9.616           |9.653           |9.741           |9.791           |9.443           |9.496           |9.536           |9.732           |9.777           |9.796           |9.795           |0.000           |0.000           |9.473           |9.473           |9.521           |9.778           |9.638           |9.663           |9.809           |9.799           |9.422           |9.632           |9.694           |9.725           |9.609           |9.870           |9.788           |9.788           |9.789           |9.753           |9.793           |9.796           |9.802           |9.821           |9.748           |0.000           |-1.000          |
08.07.2013 08:01:00.000 |9.744           |9.543           |9.661           |9.764           |9.763           |9.839           |9.765           |9.788           |9.611           |9.428           |9.748           |9.684           |9.616           |9.652           |9.740           |9.789           |9.442           |9.496           |9.535           |9.728           |9.775           |9.794           |9.799           |0.000           |0.000           |9.471           |9.472           |9.520           |9.776           |9.635           |9.663           |9.809           |9.795           |9.418           |9.632           |9.692           |9.726           |9.608           |9.870           |9.785           |9.787           |9.789           |9.750           |9.788           |9.794           |9.801           |9.821           |9.745           |0.000           |-1.000          |
08.07.2013 08:01:10.000 |9.745           |9.545           |9.658           |9.763           |9.762           |9.837           |9.773           |9.789           |9.607           |9.429           |9.741           |9.682           |9.611           |9.646           |9.740           |9.788           |9.442           |9.492           |9.534           |9.720           |9.775           |9.795           |9.799           |0.000           |0.000           |9.472           |9.467           |9.520           |9.776           |9.634           |9.660           |9.802           |9.804           |9.418           |9.628           |9.690           |9.719           |9.604           |9.869           |9.791           |9.787           |9.784           |9.748           |9.782           |9.800           |9.807           |9.820           |9.752           |0.000           |-1.000          |
08.07.2013 08:01:20.000 |9.744           |9.541           |9.659           |9.763           |9.760           |9.834           |9.762           |9.784           |9.608           |9.428           |9.741           |9.680           |9.611           |9.644           |9.737           |9.785           |9.442           |9.492           |9.533           |9.725           |9.770           |9.793           |9.793           |0.000           |0.000           |9.469           |9.468           |9.520           |9.775           |9.634           |9.659           |9.801           |9.799           |9.416           |9.629           |9.690           |9.720           |9.602           |9.866           |9.787           |9.785           |9.785           |9.747           |9.783           |9.791           |9.800           |9.818           |9.751           |0.000           |-1.000          |
08.07.2013 08:01:30.000 |9.746           |9.545           |9.659           |9.763           |9.762           |9.835           |9.769           |9.787           |9.609           |9.430           |9.744           |9.682           |9.613           |9.647           |9.739           |9.785           |9.443           |9.493           |9.534           |9.719           |9.773           |9.794           |9.799           |0.000           |0.000           |9.472           |9.469           |9.521           |9.775           |9.634           |9.661           |9.803           |9.800           |9.417           |9.630           |9.692           |9.721           |9.605           |9.866           |9.789           |9.785           |9.787           |9.748           |9.781           |9.797           |9.807           |9.818           |9.748           |0.000           |-1.000          |
08.07.2013 08:01:40.000 |9.745           |9.543           |9.660           |9.763           |9.762           |9.835           |9.764           |9.785           |9.610           |9.428           |9.745           |9.682           |9.613           |9.646           |9.738           |9.787           |9.442           |9.495           |9.534           |9.723           |9.771           |9.793           |9.795           |0.000           |0.000           |9.468           |9.471           |9.520           |9.775           |9.634           |9.659           |9.802           |9.795           |9.417           |9.632           |9.694           |9.722           |9.604           |9.868           |9.788           |9.785           |9.788           |9.750           |9.783           |9.795           |9.802           |9.819           |9.746           |0.000           |-1.000          |
08.07.2013 08:01:50.000 |9.745           |9.543           |9.660           |9.765           |9.763           |9.837           |9.766           |9.790           |9.610           |9.430           |9.742           |9.684           |9.614           |9.648           |9.739           |9.785           |9.443           |9.495           |9.535           |9.727           |9.772           |9.797           |9.796           |0.000           |0.000           |9.471           |9.471           |9.521           |9.776           |9.636           |9.659           |9.806           |9.800           |9.418           |9.630           |9.692           |9.722           |9.604           |9.871           |9.788           |9.789           |9.787           |9.750           |9.787           |9.795           |9.804           |9.821           |9.753           |0.000           |-1.000          |
08.07.2013 08:02:00.000 |9.748           |9.547           |9.660           |9.768           |9.764           |9.838           |9.773           |9.789           |9.610           |9.434           |9.745           |9.686           |9.615           |9.651           |9.741           |9.790           |9.446           |9.496           |9.536           |9.723           |9.777           |9.797           |9.806           |0.000           |0.000           |9.474           |9.471           |9.523           |9.779           |9.640           |9.663           |9.807           |9.802           |9.423           |9.632           |9.697           |9.722           |9.607           |9.870           |9.794           |9.789           |9.789           |9.753           |9.785           |9.800           |9.810           |9.821           |9.756           |0.000           |-1.000          |
08.07.2013 08:02:10.000 |9.752           |9.551           |9.664           |9.768           |9.765           |9.838           |9.775           |9.790           |9.614           |9.437           |9.746           |9.688           |9.617           |9.651           |9.745           |9.788           |9.450           |9.498           |9.540           |9.720           |9.778           |9.796           |9.802           |0.000           |0.000           |9.477           |9.473           |9.526           |9.782           |9.641           |9.665           |9.806           |9.806           |9.425           |9.634           |9.700           |9.725           |9.609           |9.869           |9.795           |9.789           |9.790           |9.754           |9.785           |9.802           |9.812           |9.820           |9.757           |0.000           |-1.000          |
08.07.2013 08:02:20.000 |9.750           |9.546           |9.665           |9.770           |9.769           |9.840           |9.770           |9.789           |9.613           |9.435           |9.748           |9.688           |9.617           |9.652           |9.745           |9.790           |9.447           |9.499           |9.537           |9.733           |9.779           |9.797           |9.799           |0.000           |0.000           |9.474           |9.474           |9.526           |9.781           |9.640           |9.666           |9.808           |9.801           |9.423           |9.634           |9.697           |9.726           |9.610           |9.872           |9.794           |9.790           |9.791           |9.756           |9.790           |9.802           |9.810           |9.822           |9.753           |0.000           |-1.000          |
08.07.2013 08:02:30.000 |9.748           |9.548           |9.664           |9.769           |9.766           |9.841           |9.770           |9.793           |9.614           |9.434           |9.750           |9.689           |9.618           |9.654           |9.744           |9.793           |9.448           |9.499           |9.539           |9.726           |9.778           |9.800           |9.806           |0.000           |0.000           |9.474           |9.474           |9.524           |9.781           |9.641           |9.664           |9.812           |9.802           |9.423           |9.635           |9.697           |9.728           |9.610           |9.874           |9.791           |9.793           |9.793           |9.754           |9.788           |9.802           |9.813           |9.824           |9.759           |0.000           |-1.000          |
08.07.2013 08:02:40.000 |9.751           |9.548           |9.663           |9.766           |9.764           |9.837           |9.770           |9.789           |9.613           |9.435           |9.745           |9.686           |9.615           |9.651           |9.741           |9.785           |9.448           |9.497           |9.537           |9.725           |9.776           |9.797           |9.801           |0.000           |0.000           |9.475           |9.472           |9.524           |9.782           |9.640           |9.665           |9.804           |9.802           |9.424           |9.634           |9.698           |9.723           |9.607           |9.869           |9.794           |9.789           |9.789           |9.754           |9.787           |9.800           |9.809           |9.820           |9.756           |0.000           |-1.000          |
08.07.2013 08:02:50.000 |9.748           |9.547           |9.660           |9.765           |9.762           |9.837           |9.770           |9.787           |9.610           |9.434           |9.742           |9.684           |9.614           |9.648           |9.741           |9.784           |9.447           |9.495           |9.536           |9.721           |9.776           |9.795           |9.802           |0.000           |0.000           |9.474           |9.469           |9.522           |9.778           |9.638           |9.663           |9.800           |9.801           |9.421           |9.632           |9.696           |9.721           |9.607           |9.868           |9.795           |9.787           |9.788           |9.752           |9.783           |9.800           |9.812           |9.818           |9.754           |0.000           |-1.000          |
08.07.2013 08:03:00.000 |9.748           |9.545           |9.658           |9.764           |9.760           |9.833           |9.765           |9.787           |9.609           |9.433           |9.742           |9.684           |9.613           |9.648           |9.738           |9.784           |9.444           |9.493           |9.534           |9.721           |9.772           |9.794           |9.797           |0.000           |0.000           |9.471           |9.468           |9.521           |9.777           |9.638           |9.661           |9.800           |9.797           |9.421           |9.629           |9.696           |9.719           |9.604           |9.865           |9.787           |9.787           |9.787           |9.751           |9.782           |9.799           |9.808           |9.818           |9.746           |0.000           |-1.000          |
08.07.2013 08:03:10.000 |9.747           |9.546           |9.659           |9.764           |9.762           |9.837           |9.768           |9.787           |9.610           |9.429           |9.745           |9.684           |9.614           |9.648           |9.741           |9.784           |9.447           |9.495           |9.535           |9.721           |9.776           |9.795           |9.801           |0.000           |0.000           |9.472           |9.469           |9.522           |9.777           |9.636           |9.661           |9.804           |9.800           |9.418           |9.630           |9.692           |9.722           |9.607           |9.870           |9.787           |9.788           |9.788           |9.750           |9.783           |9.799           |9.808           |9.816           |9.754           |0.000           |-1.000          |
08.07.2013 08:03:20.000 |9.747           |9.543           |9.658           |9.763           |9.760           |9.834           |9.770           |9.784           |9.607           |9.430           |9.740           |9.683           |9.613           |9.645           |9.740           |9.783           |9.443           |9.492           |9.534           |9.716           |9.773           |9.794           |9.797           |0.000           |0.000           |9.471           |9.466           |9.520           |9.777           |9.636           |9.660           |9.799           |9.802           |9.419           |9.628           |9.694           |9.720           |9.604           |9.865           |9.791           |9.787           |9.785           |9.748           |9.782           |9.796           |9.804           |9.815           |9.753           |0.000           |-1.000          |
08.07.2013 08:03:30.000 |9.746           |9.543           |9.658           |9.762           |9.758           |9.832           |9.763           |9.782           |9.607           |9.428           |9.739           |9.680           |9.610           |9.646           |9.737           |9.781           |9.443           |9.492           |9.533           |9.719           |9.770           |9.789           |9.793           |0.000           |0.000           |9.466           |9.466           |9.517           |9.775           |9.634           |9.658           |9.799           |9.794           |9.417           |9.627           |9.691           |9.719           |9.602           |9.863           |9.783           |9.782           |9.785           |9.748           |9.779           |9.794           |9.803           |9.814           |9.745           |0.000           |-1.000          |
08.07.2013 08:03:40.000 |9.742           |9.540           |9.655           |9.763           |9.757           |9.832           |9.757           |9.783           |9.604           |9.425           |9.741           |9.680           |9.608           |9.648           |9.733           |9.782           |9.441           |9.491           |9.531           |9.723           |9.766           |9.791           |9.787           |0.000           |0.000           |9.466           |9.465           |9.518           |9.773           |9.634           |9.654           |9.803           |9.793           |9.416           |9.626           |9.690           |9.717           |9.601           |9.866           |9.781           |9.784           |9.783           |9.747           |9.782           |9.789           |9.797           |9.816           |9.744           |0.000           |-1.000          |
08.07.2013 08:03:50.000 |9.742           |9.541           |9.659           |9.766           |9.759           |9.833           |9.758           |9.782           |9.607           |9.424           |9.744           |9.683           |9.610           |9.651           |9.735           |9.784           |9.441           |9.492           |9.533           |9.726           |9.769           |9.794           |9.790           |0.000           |0.000           |9.467           |9.467           |9.518           |9.775           |9.636           |9.657           |9.804           |9.790           |9.415           |9.628           |9.690           |9.721           |9.603           |9.868           |9.779           |9.784           |9.785           |9.750           |9.787           |9.790           |9.800           |9.819           |9.751           |0.000           |-1.000          |
08.07.2013 08:04:00.000 |9.746           |9.543           |9.655           |9.759           |9.756           |9.831           |9.763           |9.781           |9.605           |9.429           |9.738           |9.680           |9.608           |9.644           |9.735           |9.778           |9.442           |9.490           |9.531           |9.713           |9.769           |9.789           |9.796           |0.000           |0.000           |9.468           |9.464           |9.518           |9.775           |9.634           |9.657           |9.797           |9.797           |9.417           |9.627           |9.692           |9.716           |9.601           |9.863           |9.784           |9.782           |9.783           |9.747           |9.778           |9.794           |9.806           |9.813           |9.748           |0.000           |-1.000          |
08.07.2013 08:04:10.000 |9.747           |9.545           |9.659           |9.765           |9.763           |9.833           |9.764           |9.784           |9.609           |9.433           |9.744           |9.684           |9.614           |9.648           |9.741           |9.782           |9.446           |9.493           |9.534           |9.721           |9.772           |9.796           |9.800           |0.000           |0.000           |9.474           |9.468           |9.522           |9.778           |9.639           |9.661           |9.802           |9.804           |9.421           |9.629           |9.695           |9.721           |9.607           |9.868           |9.791           |9.789           |9.787           |9.752           |9.784           |9.796           |9.808           |9.821           |9.757           |0.000           |-1.000          |
08.07.2013 08:04:20.000 |9.747           |9.545           |9.658           |9.765           |9.759           |9.835           |9.770           |9.785           |9.609           |9.429           |9.742           |9.684           |9.613           |9.648           |9.740           |9.783           |9.444           |9.493           |9.534           |9.719           |9.775           |9.795           |9.793           |0.000           |0.000           |9.472           |9.467           |9.521           |9.778           |9.638           |9.661           |9.801           |9.802           |9.419           |9.630           |9.695           |9.721           |9.605           |9.869           |9.785           |9.788           |9.788           |9.751           |9.784           |9.797           |9.807           |9.819           |9.753           |0.000           |-1.000          |
08.07.2013 08:04:30.000 |9.746           |9.542           |9.653           |9.762           |9.758           |9.829           |9.765           |9.781           |9.604           |9.429           |9.737           |9.680           |9.609           |9.644           |9.737           |9.773           |9.441           |9.489           |9.530           |9.713           |9.769           |9.789           |9.795           |0.000           |0.000           |9.469           |9.464           |9.517           |9.775           |9.634           |9.658           |9.796           |9.799           |9.417           |9.626           |9.692           |9.716           |9.601           |9.863           |9.788           |9.783           |9.783           |9.748           |9.779           |9.795           |9.804           |9.813           |9.748           |0.000           |-1.000          |
08.07.2013 08:04:40.000 |9.744           |9.540           |9.651           |9.758           |9.754           |9.828           |9.764           |9.779           |9.602           |9.427           |9.737           |9.678           |9.607           |9.642           |9.734           |9.776           |9.438           |9.486           |9.528           |9.708           |9.768           |9.788           |9.797           |0.000           |0.000           |9.466           |9.460           |9.514           |9.772           |9.632           |9.655           |9.793           |9.797           |9.416           |9.622           |9.690           |9.713           |9.598           |9.859           |9.787           |9.782           |9.779           |9.746           |9.775           |9.794           |9.806           |9.810           |9.751           |0.000           |-1.000          |
08.07.2013 08:04:50.000 |9.740           |9.536           |9.653           |9.762           |9.758           |9.828           |9.754           |9.778           |9.603           |9.421           |9.740           |9.679           |9.608           |9.645           |9.733           |9.777           |9.437           |9.489           |9.528           |9.722           |9.765           |9.788           |9.781           |0.000           |0.000           |9.462           |9.462           |9.514           |9.771           |9.632           |9.653           |9.799           |9.790           |9.412           |9.623           |9.686           |9.716           |9.599           |9.864           |9.775           |9.781           |9.783           |9.747           |9.784           |9.787           |9.791           |9.814           |9.740           |0.000           |-1.000          |
08.07.2013 08:05:00.000 |9.745           |9.542           |9.653           |9.758           |9.752           |9.827           |9.762           |9.779           |9.605           |9.427           |9.734           |9.678           |9.607           |9.641           |9.733           |9.776           |9.441           |9.489           |9.530           |9.709           |9.765           |9.790           |9.794           |0.000           |0.000           |9.467           |9.462           |9.518           |9.772           |9.633           |9.654           |9.795           |9.796           |9.413           |9.626           |9.690           |9.715           |9.597           |9.862           |9.783           |9.782           |9.783           |9.745           |9.776           |9.791           |9.801           |9.812           |9.748           |0.000           |-1.000          |
08.07.2013 08:05:10.000 |9.746           |9.543           |9.654           |9.763           |9.757           |9.829           |9.763           |9.779           |9.605           |9.429           |9.738           |9.682           |9.609           |9.647           |9.735           |9.776           |9.442           |9.491           |9.533           |9.713           |9.769           |9.788           |9.795           |0.000           |0.000           |9.469           |9.465           |9.518           |9.776           |9.636           |9.658           |9.802           |9.794           |9.416           |9.627           |9.694           |9.716           |9.601           |9.863           |9.784           |9.782           |9.784           |9.750           |9.779           |9.795           |9.803           |9.810           |9.751           |0.000           |-1.000          |
08.07.2013 08:05:20.000 |9.750           |9.547           |9.659           |9.764           |9.759           |9.833           |9.770           |9.785           |9.610           |9.434           |9.740           |9.685           |9.614           |9.646           |9.740           |9.779           |9.446           |9.495           |9.536           |9.713           |9.773           |9.794           |9.806           |0.000           |0.000           |9.472           |9.468           |9.522           |9.778           |9.638           |9.661           |9.803           |9.802           |9.422           |9.630           |9.697           |9.719           |9.604           |9.865           |9.794           |9.788           |9.788           |9.753           |9.781           |9.802           |9.814           |9.816           |9.754           |0.000           |-1.000          |
08.07.2013 08:05:30.000 |9.746           |9.546           |9.660           |9.766           |9.762           |9.834           |9.764           |9.784           |9.611           |9.429           |9.746           |9.685           |9.615           |9.652           |9.739           |9.783           |9.446           |9.496           |9.537           |9.723           |9.772           |9.795           |9.791           |0.000           |0.000           |9.468           |9.469           |9.522           |9.777           |9.638           |9.660           |9.807           |9.796           |9.419           |9.632           |9.695           |9.722           |9.604           |9.869           |9.782           |9.787           |9.789           |9.752           |9.787           |9.796           |9.803           |9.819           |9.746           |0.000           |-1.000          |
08.07.2013 08:05:40.000 |9.750           |9.547           |9.660           |9.768           |9.764           |9.838           |9.769           |9.789           |9.610           |9.434           |9.744           |9.688           |9.614           |9.651           |9.741           |9.785           |9.446           |9.496           |9.537           |9.721           |9.775           |9.800           |9.803           |0.000           |0.000           |9.475           |9.468           |9.523           |9.782           |9.641           |9.665           |9.806           |9.806           |9.423           |9.630           |9.697           |9.721           |9.607           |9.874           |9.793           |9.791           |9.789           |9.754           |9.785           |9.801           |9.812           |9.821           |9.756           |0.000           |-1.000          |
08.07.2013 08:05:50.000 |9.748           |9.546           |9.659           |9.765           |9.760           |9.835           |9.765           |9.785           |9.610           |9.431           |9.744           |9.686           |9.613           |9.651           |9.740           |9.785           |9.444           |9.495           |9.536           |9.725           |9.771           |9.796           |9.795           |0.000           |0.000           |9.471           |9.468           |9.522           |9.779           |9.639           |9.660           |9.807           |9.801           |9.422           |9.632           |9.697           |9.721           |9.604           |9.870           |9.787           |9.789           |9.789           |9.752           |9.785           |9.795           |9.804           |9.819           |9.751           |0.000           |-1.000          |
08.07.2013 08:06:00.000 |9.748           |9.548           |9.661           |9.766           |9.763           |9.838           |9.770           |9.787           |9.611           |9.434           |9.744           |9.688           |9.615           |9.649           |9.741           |9.782           |9.446           |9.497           |9.537           |9.721           |9.775           |9.796           |9.800           |0.000           |0.000           |9.473           |9.469           |9.523           |9.779           |9.640           |9.661           |9.808           |9.802           |9.422           |9.633           |9.697           |9.722           |9.607           |9.870           |9.791           |9.789           |9.790           |9.753           |9.784           |9.799           |9.808           |9.820           |9.753           |0.000           |-1.000          |
08.07.2013 08:06:10.000 |9.751           |9.548           |9.660           |9.769           |9.765           |9.835           |9.770           |9.788           |9.613           |9.434           |9.747           |9.688           |9.617           |9.652           |9.742           |9.787           |9.447           |9.497           |9.539           |9.721           |9.776           |9.797           |9.800           |0.000           |0.000           |9.473           |9.471           |9.524           |9.781           |9.640           |9.665           |9.808           |9.802           |9.423           |9.633           |9.698           |9.723           |9.608           |9.870           |9.789           |9.789           |9.790           |9.754           |9.785           |9.799           |9.809           |9.821           |9.754           |0.000           |-1.000          |
08.07.2013 08:06:20.000 |9.751           |9.549           |9.660           |9.768           |9.764           |9.837           |9.769           |9.787           |9.611           |9.434           |9.746           |9.688           |9.616           |9.652           |9.741           |9.784           |9.447           |9.497           |9.540           |9.723           |9.775           |9.799           |9.801           |0.000           |0.000           |9.471           |9.471           |9.524           |9.781           |9.640           |9.664           |9.803           |9.799           |9.423           |9.633           |9.698           |9.722           |9.607           |9.870           |9.789           |9.789           |9.790           |9.754           |9.788           |9.801           |9.809           |9.821           |9.750           |0.000           |-1.000          |
08.07.2013 08:06:30.000 |9.746           |9.546           |9.661           |9.769           |9.766           |9.838           |9.764           |9.787           |9.611           |9.429           |9.747           |9.686           |9.615           |9.653           |9.741           |9.787           |9.444           |9.497           |9.537           |9.731           |9.775           |9.797           |9.789           |0.000           |0.000           |9.469           |9.471           |9.522           |9.778           |9.639           |9.663           |9.809           |9.796           |9.419           |9.632           |9.695           |9.723           |9.607           |9.874           |9.783           |9.790           |9.790           |9.752           |9.789           |9.796           |9.802           |9.824           |9.747           |0.000           |-1.000          |
08.07.2013 08:06:40.000 |9.752           |9.553           |9.664           |9.770           |9.764           |9.841           |9.770           |9.793           |9.615           |9.435           |9.750           |9.690           |9.618           |9.654           |9.744           |9.791           |9.450           |9.500           |9.542           |9.731           |9.776           |9.804           |9.806           |0.000           |0.000           |9.477           |9.474           |9.528           |9.783           |9.642           |9.664           |9.814           |9.806           |9.425           |9.636           |9.701           |9.726           |9.608           |9.877           |9.800           |9.797           |9.794           |9.757           |9.790           |9.803           |9.814           |9.826           |9.765           |0.000           |-1.000          |
08.07.2013 08:06:50.000 |9.756           |9.555           |9.667           |9.771           |9.766           |9.841           |9.775           |9.793           |9.618           |9.438           |9.750           |9.691           |9.620           |9.654           |9.745           |9.791           |9.454           |9.504           |9.546           |9.725           |9.779           |9.802           |9.806           |0.000           |0.000           |9.479           |9.475           |9.531           |9.785           |9.645           |9.667           |9.810           |9.810           |9.428           |9.640           |9.704           |9.727           |9.610           |9.875           |9.793           |9.795           |9.796           |9.759           |9.790           |9.804           |9.813           |9.826           |9.756           |0.000           |-1.000          |
08.07.2013 08:07:00.000 |9.750           |9.549           |9.664           |9.770           |9.766           |9.840           |9.768           |9.789           |9.614           |9.433           |9.748           |9.688           |9.618           |9.652           |9.746           |9.787           |9.448           |9.500           |9.542           |9.731           |9.777           |9.801           |9.801           |0.000           |0.000           |9.474           |9.472           |9.527           |9.782           |9.640           |9.666           |9.807           |9.802           |9.423           |9.635           |9.698           |9.726           |9.610           |9.875           |9.791           |9.793           |9.794           |9.756           |9.790           |9.801           |9.810           |9.824           |9.754           |0.000           |-1.000          |
08.07.2013 08:07:10.000 |9.753           |9.553           |9.663           |9.770           |9.766           |9.840           |9.777           |9.790           |9.614           |9.436           |9.748           |9.691           |9.618           |9.653           |9.746           |9.788           |9.449           |9.499           |9.542           |9.723           |9.781           |9.801           |9.806           |0.000           |0.000           |9.478           |9.472           |9.528           |9.785           |9.644           |9.667           |9.807           |9.808           |9.427           |9.635           |9.703           |9.726           |9.611           |9.874           |9.794           |9.794           |9.793           |9.759           |9.789           |9.803           |9.810           |9.824           |9.760           |0.000           |-1.000          |
08.07.2013 08:07:20.000 |9.751           |9.552           |9.661           |9.769           |9.762           |9.838           |9.769           |9.788           |9.613           |9.435           |9.744           |9.688           |9.615           |9.649           |9.741           |9.785           |9.448           |9.498           |9.541           |9.723           |9.776           |9.799           |9.803           |0.000           |0.000           |9.475           |9.471           |9.527           |9.783           |9.641           |9.664           |9.806           |9.803           |9.424           |9.634           |9.700           |9.723           |9.607           |9.871           |9.794           |9.790           |9.790           |9.756           |9.785           |9.801           |9.810           |9.820           |9.758           |0.000           |-1.000          |
08.07.2013 08:07:30.000 |9.748           |9.549           |9.661           |9.770           |9.764           |9.837           |9.766           |9.785           |9.611           |9.430           |9.747           |9.688           |9.616           |9.653           |9.741           |9.787           |9.446           |9.497           |9.539           |9.725           |9.773           |9.796           |9.796           |0.000           |0.000           |9.472           |9.472           |9.526           |9.781           |9.640           |9.663           |9.810           |9.796           |9.422           |9.633           |9.697           |9.726           |9.605           |9.871           |9.788           |9.789           |9.790           |9.754           |9.788           |9.797           |9.803           |9.821           |9.748           |0.000           |-1.000          |
08.07.2013 08:07:40.000 |9.748           |9.549           |9.664           |9.770           |9.766           |9.840           |9.766           |9.788           |9.615           |9.433           |9.750           |9.690           |9.618           |9.654           |9.744           |9.789           |9.447           |9.500           |9.540           |9.734           |9.776           |9.801           |9.799           |0.000           |0.000           |9.472           |9.473           |9.527           |9.783           |9.641           |9.665           |9.812           |9.800           |9.423           |9.635           |9.700           |9.727           |9.609           |9.875           |9.788           |9.791           |9.794           |9.757           |9.790           |9.799           |9.806           |9.824           |9.752           |0.000           |-1.000          |
08.07.2013 08:07:50.000 |9.751           |9.552           |9.665           |9.772           |9.768           |9.843           |9.770           |9.791           |9.616           |9.437           |9.750           |9.690           |9.618           |9.653           |9.744           |9.790           |9.449           |9.502           |9.542           |9.734           |9.776           |9.802           |9.797           |0.000           |0.000           |9.475           |9.475           |9.530           |9.784           |9.644           |9.664           |9.812           |9.807           |9.424           |9.636           |9.701           |9.728           |9.609           |9.877           |9.790           |9.796           |9.795           |9.758           |9.793           |9.800           |9.804           |9.827           |9.757           |0.000           |-1.000          |
08.07.2013 08:08:00.000 |9.753           |9.554           |9.667           |9.775           |9.768           |9.843           |9.772           |9.793           |9.617           |9.438           |9.751           |9.694           |9.620           |9.655           |9.747           |9.791           |9.450           |9.503           |9.545           |9.733           |9.779           |9.804           |9.801           |0.000           |0.000           |9.478           |9.475           |9.530           |9.788           |9.645           |9.667           |9.814           |9.807           |9.427           |9.638           |9.702           |9.728           |9.611           |9.878           |9.794           |9.796           |9.796           |9.760           |9.795           |9.803           |9.809           |9.827           |9.759           |0.000           |-1.000          |
